epochs,losses,accs
1,1.5975,21.6216
2,1.4409,48.1081
3,1.2237,47.027
4,0.9782,76.2162
5,0.8281,78.9189
6,0.667,84.8649
7,0.5147,88.6486
8,0.4079,86.4865
9,0.3896,92.973
10,0.3283,96.2162
11,0.2191,94.0541
12,0.2065,95.6757
13,0.1978,95.1351
14,0.1829,95.1351
15,0.1843,94.5946
16,0.166,96.7568
17,0.1328,93.5135
18,0.1135,98.3784
19,0.1248,97.2973
20,0.1519,98.3784
21,0.1472,97.2973
22,0.0922,98.3784
23,0.0874,96.2162
24,0.0897,98.3784
25,0.0777,98.3784
26,0.0794,97.2973
27,0.0775,96.7568
28,0.0757,98.3784
29,0.0761,98.3784
30,0.0767,98.3784
